draw_no,strategy,max_match,n_3plus,n_4plus,n_5,cost,payout,profit
1040,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,900,-1100
1041,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
1042,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
1043,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
1044,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
1045,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
1046,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
1047,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,900,-1100
1048,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
1049,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
1050,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,900,-1100
1051,D_prize_roi_OOS_secondhalf,1,0,0,0,2000,0,-2000
1052,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,900,-1100
1053,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
1054,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
1055,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
1056,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
1057,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
1058,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
1059,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
1060,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
1061,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,800,-1200
1062,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
1063,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
1064,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
1065,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
1066,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
1067,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
1068,D_prize_roi_OOS_secondhalf,3,1,0,0,2000,1000,-1000
1069,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
1070,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
1071,D_prize_roi_OOS_secondhalf,2,0,0,0,2000,0,-2000
