sum,mean,range,std,odd_count,even_count,low_count,high_count,prime_count,consecutive_pair_count,max_consecutive_run,d12,d23,d34,d45,decade_spread,draw_no,date
78,15.6,17,6.887670143089026,2,3,2,3,1,1,2,1,10,3,3,3,436,2007-12-11
96,19.2,22,8.681013765684282,4,1,3,2,2,0,1,4,2,13,3,4,437,2007-12-18
47,9.4,20,7.391887445030532,3,2,4,1,2,1,2,1,8,3,8,3,438,2007-12-25
90,18.0,13,4.47213595499958,4,1,1,4,3,0,1,7,2,2,2,2,439,2008-01-08
81,16.2,25,8.565045242145544,3,2,3,2,2,1,2,7,1,8,9,4,440,2008-01-15
91,18.2,24,9.88736567544662,1,4,2,3,1,0,1,2,11,9,2,4,441,2008-01-22
86,17.2,25,9.453041838477178,2,3,2,3,2,0,1,3,11,5,6,4,442,2008-01-29
97,19.4,25,8.309031231136395,3,2,1,4,3,1,2,12,5,1,7,4,443,2008-02-05
90,18.0,30,11.419281938896159,4,1,2,3,3,1,2,10,6,13,1,3,444,2008-02-12
98,19.6,24,8.309031231136396,2,3,1,4,2,0,1,9,2,8,5,4,445,2008-02-19
69,13.8,7,2.7856776554368237,3,2,3,2,2,3,3,1,4,1,1,1,446,2008-02-26
102,20.4,12,4.586937976471886,2,3,1,4,1,1,2,3,3,5,1,2,447,2008-03-04
55,11.0,17,6.356099432828281,3,2,3,2,2,1,2,6,5,5,1,2,448,2008-03-11
56,11.2,13,4.621688003316537,2,3,4,1,2,2,2,1,2,1,9,3,449,2008-03-18
55,11.0,25,8.78635305459552,3,2,4,1,3,0,1,3,3,5,14,3,450,2008-03-25
52,10.4,13,4.758150901348127,2,3,4,1,2,0,1,4,5,2,2,2,451,2008-04-01
78,15.6,28,9.068627239003707,0,5,2,3,1,0,1,10,4,2,12,3,452,2008-04-08
67,13.4,23,8.114185110040317,3,2,3,2,2,0,1,3,5,5,10,3,453,2008-04-15
64,12.8,22,8.423775875461075,2,3,3,2,3,0,1,3,8,7,4,3,454,2008-04-22
77,15.4,25,9.200000000000001,1,4,2,3,0,0,1,9,6,8,2,3,455,2008-04-29
60,12.0,14,5.215361924162119,0,5,3,2,0,0,1,2,2,6,4,3,456,2008-05-06
85,17.0,26,8.62554346113913,1,4,1,4,2,1,2,14,1,5,6,3,457,2008-05-13
84,16.8,25,9.495261976375375,2,3,3,2,1,0,1,2,7,9,7,4,458,2008-05-20
107,21.4,17,7.3375745311376575,3,2,2,3,2,2,2,1,13,1,2,2,459,2008-05-27
103,20.6,20,8.404760555780278,3,2,2,3,1,1,2,1,14,2,3,3,460,2008-06-03
81,16.2,20,6.823488843692792,1,4,2,3,1,0,1,6,5,3,6,3,461,2008-06-10
