number,k_draws_after,reappear_rate,n_obs
13,24,0.13425925925925927,216
13,25,0.14814814814814814,216
13,26,0.12037037037037036,216
13,27,0.16203703703703703,216
13,28,0.14418604651162792,215
13,29,0.14883720930232558,215
13,30,0.16744186046511628,215
14,1,0.21862348178137653,247
14,2,0.14227642276422764,246
14,3,0.17073170731707318,246
14,4,0.17479674796747968,246
14,5,0.1836734693877551,245
14,6,0.2,245
14,7,0.20408163265306123,245
14,8,0.22540983606557377,244
14,9,0.20491803278688525,244
14,10,0.15163934426229508,244
14,11,0.14754098360655737,244
14,12,0.1522633744855967,243
14,13,0.1522633744855967,243
14,14,0.20987654320987653,243
14,15,0.1934156378600823,243
14,16,0.19753086419753085,243
14,17,0.1934156378600823,243
14,18,0.14814814814814814,243
14,19,0.17695473251028807,243
14,20,0.17695473251028807,243
14,21,0.16049382716049382,243
14,22,0.13580246913580246,243
14,23,0.18930041152263374,243
14,24,0.19753086419753085,243
14,25,0.205761316872428,243
14,26,0.2139917695473251,243
14,27,0.1646090534979424,243
14,28,0.13580246913580246,243
14,29,0.1728395061728395,243
14,30,0.17695473251028807,243
15,1,0.1218274111675127,197
15,2,0.14213197969543148,197
15,3,0.14720812182741116,197
15,4,0.15306122448979592,196
15,5,0.13846153846153847,195
15,6,0.14871794871794872,195
15,7,0.12886597938144329,194
15,8,0.13917525773195877,194
15,9,0.11855670103092783,194
15,10,0.10824742268041238,194
15,11,0.10824742268041238,194
15,12,0.11855670103092783,194
15,13,0.12371134020618557,194
15,14,0.15463917525773196,194
15,15,0.14948453608247422,194
15,16,0.16494845360824742,194
15,17,0.10824742268041238,194
15,18,0.1958762886597938,194
15,19,0.12886597938144329,194
15,20,0.17010309278350516,194
15,21,0.15979381443298968,194
15,22,0.14432989690721648,194
15,23,0.15463917525773196,194
15,24,0.15979381443298968,194
15,25,0.16494845360824742,194
15,26,0.12435233160621761,193
15,27,0.16145833333333334,192
15,28,0.14583333333333334,192
15,29,0.140625,192
15,30,0.14583333333333334,192
16,1,0.21030042918454936,233
16,2,0.15021459227467812,233
16,3,0.15879828326180256,233
16,4,0.17167381974248927,233
16,5,0.17167381974248927,233
16,6,0.17167381974248927,233
16,7,0.15517241379310345,232
16,8,0.17672413793103448,232
16,9,0.17316017316017315,231
16,10,0.18614718614718614,231
16,11,0.1471861471861472,231
16,12,0.1774891774891775,231
16,13,0.14285714285714285,231
16,14,0.14285714285714285,231
16,15,0.15584415584415584,231
16,16,0.19913419913419914,231
16,17,0.1608695652173913,230
16,18,0.1565217391304348,230
16,19,0.1565217391304348,230
16,20,0.1782608695652174,230
16,21,0.14347826086956522,230
16,22,0.1565217391304348,230
16,23,0.13043478260869565,230
16,24,0.19130434782608696,230
16,25,0.1782608695652174,230
16,26,0.1956521739130435,230
16,27,0.1565217391304348,230
16,28,0.15217391304347827,230
16,29,0.16956521739130434,230
16,30,0.1965065502183406,229
17,1,0.19457013574660634,221
17,2,0.17272727272727273,220
17,3,0.12727272727272726,220
17,4,0.1506849315068493,219
17,5,0.16055045871559634,218
17,6,0.14678899082568808,218
17,7,0.14220183486238533,218
17,8,0.1743119266055046,218
17,9,0.16972477064220184,218
17,10,0.1743119266055046,218
17,11,0.14678899082568808,218
17,12,0.13761467889908258,218
17,13,0.2073732718894009,217
17,14,0.14351851851851852,216
17,15,0.1712962962962963,216
17,16,0.1527777777777778,216
17,17,0.16203703703703703,216
17,18,0.1813953488372093,215
17,19,0.16744186046511628,215
17,20,0.14418604651162792,215
17,21,0.14018691588785046,214
17,22,0.19626168224299065,214
17,23,0.14485981308411214,214
17,24,0.1542056074766355,214
17,25,0.14018691588785046,214
17,26,0.10747663551401869,214
17,27,0.16822429906542055,214
17,28,0.1542056074766355,214
17,29,0.10747663551401869,214
17,30,0.17757009345794392,214
18,1,0.14349775784753363,223
