num_a,num_b,observed_count,expected_count,lift,odds_ratio,p_raw,period
9,24,5,7.548387096774194,0.6623931623931624,0.49516908212560384,0.4605283765634254,q2
9,25,6,7.548387096774194,0.7948717948717949,0.6213836477987421,0.713291991792435,q2
9,26,8,7.548387096774194,1.0598290598290598,1.0824524312896406,0.8525964477576938,q2
9,27,9,7.548387096774194,1.192307692307692,1.0714285714285714,0.5772107413890271,q2
9,28,5,7.548387096774194,0.6623931623931624,0.5567879325643301,0.4605283765634254,q2
9,29,12,7.548387096774194,1.5897435897435899,1.8389982110912344,0.13530517452715526,q2
9,30,6,7.548387096774194,0.7948717948717949,0.46368159203980097,0.713291991792435,q2
9,31,12,7.548387096774194,1.5897435897435899,1.7435897435897436,0.13530517452715526,q2
10,11,8,7.548387096774194,1.0598290598290598,0.5894736842105263,0.8525964477576938,q2
10,12,10,7.548387096774194,1.3247863247863247,0.9486166007905138,0.35315791020466714,q2
10,13,6,7.548387096774194,0.7948717948717949,0.46859421734795614,0.713291991792435,q2
10,14,5,7.548387096774194,0.6623931623931624,0.35,0.4605283765634254,q2
10,15,10,7.548387096774194,1.3247863247863247,0.8794063079777366,0.35315791020466714,q2
10,16,11,7.548387096774194,1.4572649572649572,1.0909465020576132,0.19505962118243958,q2
10,17,9,7.548387096774194,1.192307692307692,0.796875,0.5772107413890271,q2
10,18,2,7.548387096774194,0.26495726495726496,0.16563146997929606,0.03995448836050852,q2
10,19,6,7.548387096774194,0.7948717948717949,0.38305084745762713,0.713291991792435,q2
10,20,16,7.548387096774194,2.1196581196581197,1.469387755102041,0.00490860883760566,q2
10,21,11,7.548387096774194,1.4572649572649572,1.1203703703703705,0.19505962118243958,q2
10,22,11,7.548387096774194,1.4572649572649572,0.8751714677640604,0.19505962118243958,q2
10,23,13,7.548387096774194,1.722222222222222,1.2395833333333333,0.06128009786972832,q2
10,24,13,7.548387096774194,1.722222222222222,1.3043478260869565,0.06128009786972832,q2
10,25,8,7.548387096774194,1.0598290598290598,0.6467148262813898,0.8525964477576938,q2
10,26,7,7.548387096774194,0.9273504273504273,0.6463601532567049,1.0,q2
10,27,13,7.548387096774194,1.722222222222222,1.3043478260869565,0.06128009786972832,q2
10,28,8,7.548387096774194,1.0598290598290598,0.7322654462242563,0.8525964477576938,q2
10,29,5,7.548387096774194,0.6623931623931624,0.3933333333333333,0.4605283765634254,q2
10,30,8,7.548387096774194,1.0598290598290598,0.47719298245614034,0.8525964477576938,q2
10,31,9,7.548387096774194,1.192307692307692,0.796875,0.5772107413890271,q2
11,12,5,7.548387096774194,0.6623931623931624,0.40060851926977686,0.4605283765634254,q2
11,13,6,7.548387096774194,0.7948717948717949,0.4891640866873065,0.713291991792435,q2
11,14,11,7.548387096774194,1.4572649572649572,1.031789638932496,0.19505962118243958,q2
11,15,9,7.548387096774194,1.192307692307692,0.7933333333333333,0.5772107413890271,q2
11,16,9,7.548387096774194,1.192307692307692,0.8546099290780141,0.5772107413890271,q2
11,17,13,7.548387096774194,1.722222222222222,1.4418181818181819,0.06128009786972832,q2
11,18,10,7.548387096774194,1.3247863247863247,1.2413108242303872,0.35315791020466714,q2
11,19,11,7.548387096774194,1.4572649572649572,0.8961538461538462,0.19505962118243958,q2
11,20,9,7.548387096774194,1.192307692307692,0.6468926553672316,0.5772107413890271,q2
11,21,4,7.548387096774194,0.5299145299145299,0.3150548354935194,0.2654538030170721,q2
11,22,13,7.548387096774194,1.722222222222222,1.18,0.06128009786972832,q2
11,23,7,7.548387096774194,0.9273504273504273,0.5416666666666666,1.0,q2
11,24,8,7.548387096774194,1.0598290598290598,0.6759358288770053,0.8525964477576938,q2
11,25,6,7.548387096774194,0.7948717948717949,0.4667328699106256,0.713291991792435,q2
11,26,7,7.548387096774194,0.9273504273504273,0.675,1.0,q2
11,27,10,7.548387096774194,1.3247863247863247,0.9202926453600309,0.35315791020466714,q2
11,28,7,7.548387096774194,0.9273504273504273,0.6409574468085106,1.0,q2
11,29,11,7.548387096774194,1.4572649572649572,1.1730769230769231,0.19505962118243958,q2
