num_a,num_b,observed_count,expected_count,lift,odds_ratio,p_raw,period,p_bonf,sig_bonf,p_holm,sig_holm,p_fdr,sig_fdr
7,27,34,30.193548387096776,1.1260683760683758,0.8853320592451027,0.4612160308224047,full,1.0,False,1.0,False,0.9204525937013656,False
7,28,25,30.193548387096776,0.8279914529914529,0.6544502617801047,0.4066332644555382,full,1.0,False,1.0,False,0.9134515360957742,False
7,29,25,30.193548387096776,0.8279914529914529,0.6465968586387435,0.4066332644555382,full,1.0,False,1.0,False,0.9134515360957742,False
7,30,28,30.193548387096776,0.9273504273504273,0.6896238781889684,0.7823030217496556,full,1.0,False,1.0,False,0.9659562715264634,False
7,31,35,30.193548387096776,1.159188034188034,0.865264658706113,0.35720678863729965,full,1.0,False,1.0,False,0.9134515360957742,False
8,9,30,30.193548387096776,0.9935897435897435,0.996816941665584,1.0,full,1.0,False,1.0,False,1.0,False
8,10,29,30.193548387096776,0.9604700854700853,0.8249380677126342,0.9266235287233359,full,1.0,False,1.0,False,0.9882567450833742,False
8,11,31,30.193548387096776,1.0267094017094016,0.7459748662436232,0.853780704510487,full,1.0,False,1.0,False,0.9659562715264634,False
8,12,28,30.193548387096776,0.9273504273504273,0.9318786934216508,0.7823030217496556,full,1.0,False,1.0,False,0.9659562715264634,False
8,13,24,30.193548387096776,0.7948717948717949,0.7048960819700762,0.3102501858601514,full,1.0,False,1.0,False,0.9134515360957742,False
8,14,34,30.193548387096776,1.1260683760683758,0.9396937178627319,0.4612160308224047,full,1.0,False,1.0,False,0.9204525937013656,False
8,15,19,30.193548387096776,0.6292735042735043,0.5972861791612942,0.04209445570616836,full,1.0,False,1.0,False,0.7528447821894237,False
8,16,21,30.193548387096776,0.6955128205128205,0.5418013134577296,0.09714126221799016,full,1.0,False,1.0,False,0.7528447821894237,False
8,17,24,30.193548387096776,0.7948717948717949,0.6878457765356756,0.3102501858601514,full,1.0,False,1.0,False,0.9134515360957742,False
8,18,21,30.193548387096776,0.6955128205128205,0.5743668289480882,0.09714126221799016,full,1.0,False,1.0,False,0.7528447821894237,False
8,19,31,30.193548387096776,1.0267094017094016,0.8369678089304258,0.853780704510487,full,1.0,False,1.0,False,0.9659562715264634,False
8,20,25,30.193548387096776,0.8279914529914529,0.6672047350013451,0.4066332644555382,full,1.0,False,1.0,False,0.9134515360957742,False
